ev_stand,ev_hit,ev_double,realized_units,stand_shadow_units,hit_shadow_units
+1.000000,+1.000000,-0.655405,+1.000000,+1.000000,+1.000000
+0.000000,+0.000000,-0.821918,+0.000000,+0.000000,+0.000000
+1.000000,+1.000000,+0.296167,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,+0.297872,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,-0.176895,+1.000000,+1.000000,+1.000000
-1.000000,+0.000000,-0.904762,+0.000000,-1.000000,+0.000000
+1.000000,+1.000000,-0.646617,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.610687,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.664062,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.676000,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,+1.000000,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,-0.648536,+1.000000,+1.000000,+1.000000
-1.000000,+0.000000,-0.913793,+0.000000,-1.000000,+0.000000
-1.000000,+0.000000,-0.903509,+0.000000,-1.000000,+0.000000
+1.000000,+1.000000,-0.542601,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.022936,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,+0.367925,+1.000000,+1.000000,+1.000000
+0.000000,+0.000000,-0.798077,+0.000000,+0.000000,+0.000000
+1.000000,+1.000000,-0.843521,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,-0.688119,+1.000000,+1.000000,+1.000000
-1.000000,+0.000000,-0.922111,+0.000000,-1.000000,+0.000000
-1.000000,+1.000000,-0.620865,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,+0.000000,+1.000000,+1.000000,+1.000000
-1.000000,+0.000000,-0.929504,+0.000000,-1.000000,+0.000000
-1.000000,+1.000000,-0.304000,+1.000000,-1.000000,+1.000000
-1.000000,+0.000000,-0.929919,+0.000000,-1.000000,+0.000000
-1.000000,+0.000000,-0.931880,+0.000000,-1.000000,+0.000000
+1.000000,+1.000000,-0.713483,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,-0.251429,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.605797,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,+0.215339,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.622754,+1.000000,-1.000000,+1.000000
-1.000000,+0.000000,-0.933333,+0.000000,-1.000000,+0.000000
-1.000000,+1.000000,-0.435583,+1.000000,-1.000000,+1.000000
-1.000000,+0.000000,-0.934783,+0.000000,-1.000000,+0.000000
+1.000000,+1.000000,+1.000000,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.471154,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,-0.712418,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.282392,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.794613,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.794521,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,-0.700348,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,-0.224199,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,-0.855072,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,-0.852399,+1.000000,+1.000000,+1.000000
-1.000000,+0.000000,-0.936090,+0.000000,-1.000000,+0.000000
-1.000000,+0.000000,-0.934866,+0.000000,-1.000000,+0.000000
-1.000000,+1.000000,-0.560311,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.019841,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,-0.854251,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.421488,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,-0.856540,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,-0.854077,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,+0.114035,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.544643,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,-0.333333,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.785047,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.257143,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,+0.392157,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.765854,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.615960,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.614610,+1.000000,-1.000000,+1.000000
+0.000000,+0.000000,-0.699746,+0.000000,+0.000000,+0.000000
-1.000000,+1.000000,-0.443005,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.301047,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,-0.861702,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.559783,+1.000000,-1.000000,+1.000000
